Artist,Album,2022 Sales,Date Released,Last Update
AB6IX,Complete with You: Special Album,43058.00,220117,220131
aespa,Savage,19629.00,211005,220430
Apink,Horn,58641.00,220214,220228
ATEEZ,Zero: Fever Epilogue,3578.00,211210,220131
BAE173,Intersection: Blaze,16801.00,220330,220430
BamBam,B,87540.00,220118,220131
Bang Yongguk,2,6933.00,220302,220331
Billlie,The Collective Soul and Unconscious: Chapter One,66885.00,220223,220430
Blitzers,Bobbin,17719.00,220103,220131
Bolbbalgan4,Seoul,2596.00,220420,220430
Brave Girls,Thank You,33605.00,220315,220331
BTOB,Be Together,121528.00,220221,220331
Choi Yena,Smiley,84346.00,220117,220331
Cravity,Liberty: In Our Cosmos Part.2,123922.00,220322,220430
Cherry Bullet,Cherry Wish,20250.00,220302,220331
Def.,Love,41148.00,220126,220131
DKZ,"Chase, Ep.2-Maum",118583.00,220412,220430
Dreamcatcher,Apocalypse: Save Us,94706.00,220412,220430
Drippin,Villian,37535.00,220117,220430
E'LAST,Roar,48695.00,220427,220430
Enhypen,Dimension: Dilemma,27591.00,211012,220430
Enhypen,Dimension: Answer,621425.00,220110,220430
Epex,Book of Anxiety Chapter1. 21st Century Boys,71584.00,220411,220430
Epik High,Epik High is Here,5382.00,220214,220228
Eric Nam,There and Back Again,2183.00,220107,220430
Everglow,Return of the Girl,2450.00,211201,220131
fromis_9,Midnight Guest,120245.00,220117,220331
(G)I-dle,I Never Die,198589.00,220314,220430
Ghost9,Arcade: V,9311.00,220407,220430
Ha Sungwoon,You,18717.00,220209,220228
Highlight,Daydream,86293.00,220321,220430
ILY:1,Love in Bloom,3181.00,220404,220430
IVE,Eleven,37284.00,211201,220430
IVE,Love Dive,440067.00,220405,220430
Jinjin & Rocky,Restore,57401.00,220117,220228
Just B,Just Begun,51504.00,220414,220430
Kai,Peaches,5373.00,211130,220131
Kang Hyewon,Winter Special Album: W,18305.00,220104,220131
Kep1er,First Impact,271048.00,220103,220430
Kihyun,Voyager,141407.00,220315,220430
Kim Jaehwan,The Letter,9639.00,211228,220131
Kim Junsu,Dimension,55470.00,220317,220430
Kim Sungkyu,Savior,28082.00,220422,220430
Kim Wooseok,Reve: 3rd Desire,67957.00,220307,220331
Kim Yohan,Illusoin,51754.00,220110,220131
Kingdom,History of Kingdom: Pt. 4: Dann,19450.00,220331,220430
Kwon Eunbi,Color,55923.00,220404,220430
Kyuhyun,Love Story (4 Season Project 季),37215.00,220125,220228
Lee Seokhoon,Same Spot,7673.00,220324,220331
Lee Seungyoon,Even if it becomes ruins,7640.00,211124,220228
Lisa,Lalisa,73336.00,210910,220430
LUNA,Moonlight,3705.00,220117,220131
